,카페,메뉴,가격,지역,구분
113,커피빈 차병원점,아메리카노 S,4800,강남구,F
117,커피빈 테헤란로하이닉스뒷점,아메리카노 S,4800,강남구,F
121,커피빈 한티역디마크빌딩점,아메리카노 S,4800,강남구,F
124,커피빈 역삼포스틸타워뒷점,아메리카노 S,4800,강남구,F
126,커피빈 삼성역글라스타워뒷점,아메리카노 S,4800,강남구,F
134,커피빈 영동고앞점,아메리카노 S,4800,강남구,F
136,커피빈 공항터미널앞점,아메리카노 S,4800,강남구,F
137,커피빈 압구정현대아파트점,아메리카노 S,4800,강남구,F
142,커피빈 압구정에스점,아메리카노 S,4800,강남구,F
143,커피빈 논현팍스타워점,아메리카노 S,4800,강남구,F
149,커피빈 차병원사거리점,아메리카노 S,4800,강남구,F
151,커피빈 국기원사거리점,아메리카노 S,4800,강남구,F
160,커피빈 선릉로93길점,아메리카노 S,4800,강남구,F
161,커피빈 역삼역4번출구점,아메리카노 S,4800,강남구,F
164,커피빈 강남역랭기지타워점,아메리카노 S,4800,강남구,F
183,커피빈 CBTL파르나스몰점,아메리카노 S,4800,강남구,F
187,커피빈 도곡동지오빌딩점,아메리카노 S,4800,강남구,F
189,커피빈 대치한티점,아메리카노 S,4800,강남구,F
191,커피빈 선릉로86길점,아메리카노 S,4800,강남구,F
202,멜로워 역삼더퍼스트,아메리카노,4800,강남구,P
208,아티제 도산로점,아메리카노,4700,강남구,P
210,아티제 코엑스몰점,아메리카노,4700,강남구,P
211,카페더스페이스,아메리카노,4700,강남구,P
212,아티제 선릉대치타워점,아메리카노,4700,강남구,P
223,폴바셋 코엑스몰점,룽고(Standard),4700,강남구,F
233,커피스미스 가로수길점,커피,4500,강남구,P
238,마일스톤 커피,아메리카노,4500,강남구,P
242,테라로사 포스코센터점,아메리카노 클래식 hot,4500,강남구,F
244,샌드커피 논탄토,체즈베,4500,강남구,P
245,카페블라썸,아메리카노,4500,강남구,P
262,테라로사 코엑스점,아메리카노 클래식 hot,4500,강남구,F
266,젠틀커피,아메리카노,4500,강남구,P
269,치카리셔스,컵케이크,4500,강남구,P
270,스텐다드커피바,아메리카노,4500,강남구,P
274,브라운홀릭,카페라떼,4500,강남구,P
275,웻커피 신사,Espresso,4500,강남구,P
278,마츄피츄,얼그레이아메리카노,4500,강남구,P
281,그레이스커피,아메리카노,4500,강남구,P
290,히든브라운,아메리카노,4500,강남구,P
294,커피엠스테이블,플랫화이트,4500,강남구,P
