,카페,메뉴,가격,지역,구분
264,컨테인 커피,아메리카노,3500,강동구,P
279,이디야커피 명일역점,아메리카노,3500,강동구,F
292,이디야커피 강동SK허브점,아메리카노,3500,강동구,F
30,엘레펀트커피,아메리카노,3500,강동구,P
35,이디야커피 올림픽북문점,아메리카노,3500,강동구,F
37,이디야커피둔촌점,아메리카노,3500,강동구,F
42,커피노트,아메리카노,3500,강동구,P
43,포터스커피,아메리카노,3500,강동구,P
45,이디야커피 길동역점,아메리카노,3500,강동구,F
48,이디야커피 강일점,아메리카노,3500,강동구,F
50,커피홀 강동역점,아메리카노,3500,강동구,P
51,이디야 보훈병원점,아메리카노,3500,강동구,F
52,이디야커피 암사중앙점,아메리카노,3500,강동구,F
54,이디야커피 길동사거리점,아메리카노,3500,강동구,F
56,이디야커피 천호현대점,아메리카노,3500,강동구,F
57,커피데이,아메리카노,3500,강동구,P
59,아리스타커피 천호공원점,아메리카노,3500,강동구,F
61,언니커피,아메리카노,3500,강동구,P
65,이디야커피 길동중앙점,아메리카노,3500,강동구,F
69,이디야커피 고덕래미안힐스점,아메리카노,3500,강동구,F
70,커피베이강동롯데캐슬퍼스트점,아메리카노,3500,강동구,F
72,커피의눈물153,아메리카노,3500,강동구,P
74,POTTERSCOFFEE천호점,아메리카노,3500,강동구,P
76,마마커피,아메리카노,3500,강동구,P
77,심플커피 길동점,커피,3500,강동구,P
80,미드커피,"커피,마카롱,케익",3500,강동구,P
81,진정희의커피다락방,아메리카노,3500,강동구,P
86,커피베이길동자이점,아메리카노,3500,강동구,F
89,이디야커피 강동역점,아메리카노,3500,강동구,F
90,버즈커피,아메리카노,3500,강동구,P
91,커피서랍,아메리카노,3500,강동구,P
92,커피생각 천호점,아메리카노,3500,강동구,P
93,커피스미스에프씨강동첨단단지점,아메리카노,3500,강동구,P
95,포레포레,마카롱,3500,강동구,P
96,커피베이강동길동점,아메리카노,3500,강동구,F
