,title,content
45,국민카드 체크카드소액신용결제,국민 노리카드 사용중인데요 신용카드도 사용중인데 최대 30만원한도로 잔액이 없는경우 현금처럼 30만원까지 쓸수있다는데 아까 1시간전에 신청을하고 잔고가없는상태에서 온라인주문하려했는데 한도초과라네요 왜이러는거죠?
46,국민 노리카드 체크카드 해외결제 언제 빠져나가요?,"점심쯤에 결제했는데 돈이 안빠져나가서요
언제 빠져나가나요?"
47,국민카드 체크 소액 신용,"제가 체크 소액 신용 결제일이 매달 16일인데
지금 12월 16일에 내야하는 금액은 14만원입니다
그런데 만약에 지금 돈을 더 쓰면 이 금액이 14만원에 더해져서 12월 16일에 내는건가요 아니면 이월되어서 1월 16일에 내는 건가요??"
48,제가 국민카드 체크카드겸 신용카드 50만원 한도로 쓰고 있는데 결제일이 18일인데 4일? 뒤에 돈 넣어서 결제하고 그러느라 연체가 좀 됐었는데 지금은 30만원 정도 썼는데 한도초과라고 뜨네요 한도가 낮아진건가요? 다시 늘릴 수는 없는 건가요?ㅠ,
49,kb국민카드 체크카드 이용실적 어디서 확인 하나요?,
50,삼성페이 국민 노리카드(체크카드) 후불 교통카드 사용할수 있나요?? 등록은 어떻게하나요,
51,"국민카드 체크카드 쓰고 있는데요
국민카드 싸이트에 국민 아이디로 로그인하니 잘못 입력되넜다고 하는데 스타뱅킹에 로그인도 되고 회원가입 눌러도 가입된 회원이라 하는데 왜 안되는거뵤...?ㅠㅠ그거 따문에 토스도 카드 등록을 못하고 있어요ㅠㅠㅠ",
52,KB국민카드 체크카드 잃어버려서 친누나가 재발급받아준다는데 필요한 준비물이 뭐가있을까요 ??,
53,국민카드 체크카드 소액신용 관련 질문드려요,"나라사랑카드에 소액신용 기능을 넣어서 쓰고있는데요
주로 사용하는 카드는 따로 있고
나라사랑카드는 교통카드용으로만 쓰고 있다보니
계좌 잔액 확인을 미리 하지 못해서 이번달 카드 대금이 연체되고 말았습니다
그래서 궁금한 게 생겨서 이렇게 여쭤봅니다!

1. 결제일이 10월 9일 수요일이고 한글날이라 
출금 예정일이 10일 목요일인 상태에서
제가 오늘(일요일) 결제를 했으니 1영업일 연체된 것이 맞나요?

2. 국민카드 앱에서 결제대금 조회했을 때
제가 결제한 9만원 정도의 대금을 제외하고
단기카드대출(현금서비스) 이자라는 이름으로 33원 정도가 더 붙었는데
현금서비스를 사용했다는 사실이 기록에 남거나 신용에 영향을 주나요?

3. 카드 연체가 5영업일까진 카드사끼리 정보를 공유하지 않아 신용등급에 영향을 주지 않는 대신
5영업일 미만이더라도 해당 카드사 내부적으로는 등급이 떨어질 수 있다던데 맞나요? "
54,Kb국민카드 체크카드인데,학생증이 Kb국민카드 체크카드인데 어떨때 사용할 수 있나요? 한정되어 있나요?
55,"국민카드 체크카드 소액신용결제서비스 이용중인데요.
제가 처음으로 올해 4월 초중순부터 결제일인 4월 20일까지 한도 300000원 중에 298320을 썼어요. 그래서 20일날 월급받고 대금납부할려고 보니까 5월 20일에 결제하면 된다고 하길레 그냥 놔뒀거든요? 그러면 4월 20일(결제일)에 납부할게 없으니까 다시 한도 리셋되야하는거 아닌가요?? 298320원은 5월 20일에 결제하면 되는거니까 저는 밀린것도 없고 아무런 이상이 없는데 왜 안되는지 모르겠어요 선결제는 못해요...",
56,국민카드 체크카드 소액신용결제 한도가 30만원이잖아요? 매달 1일 마다 다시 리셋되나요? 만약에제가 11월에 13만원쓰면 남은한도가 17만원이잖아요 근데 12월되면 다시 한도가 30만원되나요?,
57,"국민카드 체크카드질문


국민신용카드1개,체크카드1개 있었습니다
국민신용카드를 체크카드로 연동되어 사용해왔는데..
신용카드인지라 돈을 막쓰게되더라구요
그래서 신용카드해지하고.
체크카드를 두개발급받았습니다. 총3개의 체크카드를 가지고있는데요.

이번에 발급받은 체크카드 두개를 기존에 있던 체크카드와
연동되어 사용이된다는데....
그러면 또 돈막쓰게될거같은데요.
연동안시키고 체크카드에다 금액넣고 빼고 쓸수있는 방법있나요?",
58,국민 신용카드 체크겸용으로 교체발급,"톡톡페이 카드를 두어 달쯤 사용했습니다.
카드 혜택을 이용하기 어려워서 교체발급을 받고자 하는데, 체크카드 겸용으로도 교체발급이 가능한가요?

가능하다면 간편결제 할인이나 적립 위주의 카드까지 추천해주시면 감사하겠습니다."
59,Kb국민카드 체크카드소액신용결제서비스 신청했는데요. 부여한도가 20만원인데 잔여한도가 6만원인거는 뭔가요? 신용카드 한도가 6만원남았는데 소액신용결제서비스신청해도 6만원까지밖에 못쓰는건가요?,
60,Kb국민카드 체크카드소액신용 신청이 안돼는데 혹시 후불교통카드연체때문에 안될수도있나요??,
61,kb 국민카드 체크카드 이용하는데요ㅠㅠ 지금 들어있는 돈은 6만원인데 17000원 결제할려하는데 한도초과라고 뜨네요ㅠㅠ 그리고 고객센터에 전화해보니까 들어간 돈만큼 쓸수있는 한도라고 하던데ㅠㅠ 다시 해봐도 한도초과 나오네요ㅠㅠ 왜그럴까요ㅠㅠ?,
62,국민 나라사랑카드 체크카드 소액신용서비스를,이용중인데 안에 잔고가 0원이어도 쇼핑몰에서 신용카드 란에 소액신용서비스를이용중인 이카드를 입력해도 구입가능한가요??
63,국민카드 체크카드 소액 신용결제 서비스 신청이 된건가요? 주말인데 신청이 바로되네요 바로 사용할수잇나요?,
64,Kb 국민카드 체크소액결제(하이브리드) 30만원 한도 사용하고 있는데 오늘이 결제일이여서 국민카드앱으로 294000 결제했어요. 근데 20분 뒤에 남은 95000원도 빠져 나가서 0원이 됐어요. 국민카드 앱을 보니 수납과잉금이라고 -95921 원이라고 써져있네요 이건 무슨 상황이죠?? 내공 100,
65,채택진짜 빨라요!! 국민카드 체크카드랑 신용카드 둘다 있으면,할인혜택 같은거 있나요?
66,"제가 국민카드 체크카드소액결제서비스를 오늘 신청했는데요
국민카드는 결제일 늦춤으로 결제일을 다음달로 늦추는게 가능하다고 들었는데
서비스 신청하자마자 늦출 수도 있나요?",
67,국민카드 이지홈카드 체크결제,이지홈카드 사용중인데 통장에 잔고가 있음에도 신용으로 긁히던데 체크로 안 긁히나요? 전에 사용하던 잇스타일 카드는 있는 잔고 다 사용 후 신용으로 긁히던데 왜 다른거죠?
68,KB국민카드체크카드를 분실해서 재발급신청을넣었는데요 집으로 배송해주신데요 평균 소요기간이 어느정도될까요? 재발급 자택으로 받으신분 계신가요?,
69,"신용불량자인데 국민행복카드 체크카드
발급신청해놨는데 집으로배송오면 카드등록하고 사용가능한가요?? 안긁히는거아닌가요ㅠㅠ",
70,"나라사랑카드 국민카드체크카드

국민은행체크카드만들었는데 은행에서 나라사랑카드랑 체크카드랑 2개를 연동해준다고했는데 체크카드에다가 돈을넣었는데 나라사랑카드계좌에 돈이 그대로있더라구요
그래서 그런데 체크카드는 말그대로 입출금만가능하고 나라사랑카드는 후불교통입출금 가능한거맞죠?? 그리고 다른사람이 저한테 돈을 보낸다하면 나라사랑카드계좌말고
체크카드 계좌로 돈을 보내면 어떻게되나요??",
71,국민은행 마스터카드(체크카드) 해외사용 가능여부.,"1. 국민은행 체크카드에 마스터카드 로고가 써져있는데 이건 따로 은행에 신청하지 않고도 해외에서 사용가능한지 궁금합니다.

2. 해외원화결제 서비스 차단해뒀는데 해외에서 사용하는거에 제한이 생기거나 문제가 발생하진 않나요??"
72,안녕하세요 제가 국민카드 체크 소액신용서비스 이용중입니다. 제가 급여날짜가 변경되어 원래 12월22일날 결제 일인데 1/5일날 낼수잇을거같아서요 5영업일 지나서 타사공유되서 정지되는것도 알고있습니다. 혹시 미납이 오래되서 체크소액기능을 못할수도 있나요ㅠㅠㅠ? 제가 급히 써야되는부분이있어서요 내공 겁니다,
