,content
47,"만 14세 이상 미상년자이고 부모님이 새마을금고 카카오페이 체크카드로 만들어 오셨는데 폰으로 연결이 되는지 궁금합니다. (참고로 제가 사용하는 폰은 부모님 명의입니다)

1)검색해보니 토스에 새마을금고 계좌는 연결이 가능하다던대 되는지 여부와 된다면 연결 방법이 궁급합니다

2)카카오페이는 본인 명의가 아니여도 카드 연결이 가능한지 가능 여부와 만약 된다면 방법이 궁금합니다

3)그 외에 새마을금고 카카오페이 체크카드를 토스 카카오페이와 같은 앱 연결이 가능한지(본인 명의 폰이 아니더라도) 된다면 어떤 앱이 있는지 궁금합니다"
48,저 위에 할인혜택은 밑에 사진처럼 전원실적금액이 되야지 받을 수 잇는 혜택이에요 ?
49,"새마을 금고 카카오페이 체크카드 한도가 만 14세 미만은 하루 3만원이라고 하던데 지금 만들고 만 14세 이상이 되면 그 한도를 깰수있나요?? 아니면 다시 만들어야 하나요?? 그리고 그 체크카드를 청소년이 만들라면 어떻게 해야하는지 뭘 가져가야하는지도ㅠ알려주세요 참고로 올해 15세지만 생일이 지나지않아 만 13세, 즉 만 14세 미만 입니다!"
50,"안녕하세요
새마을금고 카카오페이 체크카드 발급사 BC 맞나요?"
51,이 카드를 신청하면 카카오페이에 연동해서 오프라인매장에 결제하면 카카오페이 금액에서 차감되나요?
52,"어제 새마을금고가서 통장이랑 체크카드 만들었는데 원래 부모님 체크카드 썼어서 후불이였는데 미성년자라 선불교통카드인데 뭐가뭔지 ..

카카오페이가 뭐할때 쓰는거에요?
카카오페이랑 연동해야하나요?
혜택은 뭐뭐가 있어요?
선불교통카드는 계좌에서 빠지는게 아니라 따로 충전해야된다던데 어떻게하는거에요?"
53,"새마을금고 카카오페이 체크카드 오늘 만들었는데 인터넷 뱅킹을 신청해야 새마을금고 어플로 입출금 가능한거죠?
그냥 은행가서 신분증만 인터넷뱅킹 신청하면 되는거죠??"
54,새마을금고 카카오페이 체크카드 일일한도가 있나요??체크카드도 한도가 있다는말을 들러본적이 없어서.. 청소년이구요 오늘 발급받았어요 일일한도가 있다면 얼마인가요??
55,카카오페이 체크카드 선불교통기능 있는데 티머니 충전은 어디서 해야하나요?
56,새마을금고 카카오페이 체크카드 돈 잔액을 확인하고 싶은데 핸드폰 어플을 깔아서 확인할 수 있나요? 제가 공인인증서는 농협이라 뭔가 안될거같기도 하고ㅠㅠㅠㅠㅠ
57,새마을금고 카카오페이 체크카드를 잃어버려서 말씀드립니다. 재발급 받으러 가야할때 무엇이 필요하고 뭘 하면 재발급을 받을수 있나요(??
58,새마을금고 카카오페이 체크카드 할인받은 매출은  실적으로 인정이 안되나요?
59,"새마을금고 카카오페이 카드 가지고 있는데요

카드 만들기만 했는데 토스로 바로 송금 가능한가요?"
60,안녕하세요 제가 카카오페이 새마을금고 체크카드를만들었는데 다른지인들이 이카드혜택이있다는데 어디어디서 혜택을받을수있죠?
61,"제가 새마을금고 카카오페이 체크카드를 만들었어요
교통카드기능을 말을 안했어요
다시 가서 만들어야 할까요 ??"
62,새마을금고 카카오페이 체크카드는 영화할인 2천원이 된다고 해서 발급했는데 8천원이 정가인데 8천원그대로 결제가 됬어요 나중에 입금 되는 형식인가요? 입금되는 기간은 얼마나되나여?
63,"새마을금고 카카오페이 체크카드를 발급했는데
발급할 때 티머니 사용 신청을 깜빡했으면 다시 재발급하러 가야 하나요..? ㅠㅠㅜ"
64,"새마을금고 체크카드로 카카오페이결제하는법이요
카카오톡에 더보기로 들어가면 잇다는데
아무리찾아도 안보여요 자세히 설명해주실수있으신분계신가요...??
안드로이드폰 입니다ㅜ
핸폰결제말고 매장에서 카카오페이(새마을체크카드)로 결제하는 방법 알려주세요 내공걸어요"
65,제가 새마을금고 카카오페이 체크카드를 쓰는데 가게에서 계산을 하려니까 잔고는 남았는데 한도 초과라고 하더라고요... 뭘까요ㅠㅠㅠ
66,"저번 9월달에 30만원  넘게 결제해서 실적은 충족 됬고용 (카드사에 전화해서 확인해봄)


새마을금고 카카오페이 체크카드 혜택중에


카카오페이 간편결제를 통해 새마을금고 체크카드로 결제 하면 15% 할인 혜택을 받을수 있잖아용


그러면 예를들어서


제가 소셜커머스에서 카카오간편결제로 15만원짜리 물건을 사면 15만원의 15%금액인

22.500원이 할인되어 계좌에 캐시백으로 입금 되는건가용?


아니면 30만원 실적 충족한 통합한도 금액인 1만원이 입금 되는건가용?


정말 잘 아시는 분만 답변주세요 ^_^"
67,"새마을금고 카카오페이 체크카드를 데이트 통장으로 쓰고있는데요
카드는 올해 2월 8일에 발급 받아서 그 날부터 2월 28일까지 카드 사용 금액이 거의 50만원 정도 되는데
카드 실물은 제가 갖고있고 남자친구가 삼성페이에 등록해놔서 거의 대부분을 삼성페이로 계산을 했어요

근데 카드 처음 발급받을 때 첫 한두달은 사용 실적이 없어도 5000원 캐시백이 들어온다고 했던 것 같은데 아직까지 소식이 없네요ㅠ

혹시 영화 예매나 온라인 쇼핑 등등 모든 캐시백 들어오는 날짜가 정해져있나요???
혹시 삼성페이로 결제해서 실적이 안 쌓인걸까요???
그럼 앞으로는 실물 카드로 계산해야하나요???

이상한 답변 및 광고 글은 신고합니다!"
